X.26..あなたは.普段.午前.起床.昼食前.中に.どのくらいの飲み物を飲みますか..,X.27..あなたは.普段.午後.昼食.夕食前.に.どのくらいの飲み物を飲みますか..,X.34..あなたは.他の人と比べて.飲み物を飲む量が多い方だと思いますか.,X.35..あなたは.他の人と比べて.飲み物を飲むペースは速い方だと思いますか,X.42..あなたは.食事の時に飲み物を飲みますか,X.29..あなたは.普段.1日にお茶をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.33..あなたは.普段.1日に炭酸や果汁などの清涼飲料をどのくらい飲みますか...グラス換算.1杯.約200ml程度.,X.72..あなたは.普段.毎日みそ汁はどのくらい食べますか..1杯.お椀1杯程度,X.42..朝.一回に食べる量を選んでください（肉・肉加工品類）,X.74..朝.1週間に.回（淡色野菜、きのこ類）,X.75..昼.一回に食べる量を選んでください（淡色野菜、きのこ類）,X.119..味噌汁.1週間に.杯,X.181..冷たいものをとると.体の調子が悪くなりますか.,X.88..あなたは.便通について.普段の状態に近いものを選んでください.,選択式_全由来,選択式_飲料由来,選択式_食事由来,選択式_酒類由来
3,2,2,1,0,7,1,2,0,0,1,6,1,4,3689.76875,2098.10625,1591.6625,0
4,4,1,2,0,0,0,2,1,0,0,0,0,2,3126.9,1775,1351.9,0
2,2,0,0,1,2,0,2,0,3,2,5,0,4,2799.9,2080.075,648.25,71.575
0,0,4,3,1,4,0,3,0,0,2,10,1,2,1732.725,660.65,1072.075,0
2,2,3,3,1,3,0,2,0,0,1,11,1,3,2863.4125,1600.5875,1262.825,0
1,1,2,1,0,4,0,0,1,0,1,0,2,3,1458.8375,498.5,960.3375,0
2,2,2,3,0,5,1,2,1,3,1,6,2,2,3111.925,1580.25,1531.675,0
0,2,2,2,1,3,1,1,0,0,0,5,2,1,1988.775,1037.3,951.475,0
1,1,3,2,0,2,2,2,2,2,0,14,0,2,2291.2625,839.95,1451.3125,0
0,2,4,4,2,3,0,2,0,5,0,6,1,4,1660.7375,642.375,929.6625,88.7
3,4,1,0,0,6,0,0,0,0,2,0,1,2,2254.1125,1654.6875,599.425,0
0,1,3,3,1,2,0,2,0,0,0,6,2,4,1779.675,812.4125,967.2625,0
0,3,3,4,0,5,0,2,1,0,1,7,3,4,3121.7375,1556.2875,1565.45,0
2,3,2,2,1,0,0,0,0,0,2,1,1,2,4333.05,3307.9125,1025.1375,0
3,2,2,2,3,6,0,2,0,0,1,7,1,4,3269.525,2227.7625,1041.7625,0
1,2,3,3,1,4,1,1,1,0,1,3,0,2,2175.4375,1229.775,945.6625,0
1,1,3,3,2,2,0,1,1,5,1,3,2,1,2511.25,1273.0875,1158.3625,79.8
3,3,0,3,0,3,1,1,0,0,1,0,3,2,2863.6625,1881.325,982.3375,0
3,3,1,1,0,4,0,1,1,7,0,5,1,2,3968.6375,2823.4625,1145.175,0
3,3,2,1,1,4,0,1,2,0,2,1,0,1,4195.0625,2247,1036.0625,912
0,4,1,0,0,3,0,2,0,7,0,7,0,3,2246.1125,1179.1125,1067,0
2,1,3,3,2,1,3,1,0,0,0,2,0,2,1154.45,713.65,440.8,0
1,2,3,3,0,3,0,2,1,0,1,3,0,4,1595.725,823.8,771.925,0
1,1,1,1,0,3,1,3,1,3,2,6,1,2,3437.6875,1809.9875,1478.25,149.45
2,2,1,2,0,5,1,2,2,0,1,4,0,2,3577.6375,1692.4625,1719.775,165.4
2,2,2,1,0,4,0,0,0,0,2,2,0,3,2846.225,2117.275,728.95,0
3,3,2,2,1,5,1,1,0,4,3,4,1,2,3399.85,1883.6625,1473.5625,42.625
2,1,2,4,0,3,1,2,0,5,2,9,0,2,2269.225,1057.175,1212.05,0
2,1,4,3,2,1,0,1,0,2,2,3,1,3,1606.725,665.75,940.975,0
2,2,3,4,0,3,0,2,1,3,1,5,0,2,3341.0125,1434.2125,1655.2,251.6
0,1,3,3,0,3,1,2,1,3,1,5,0,3,2467.3625,922.35,1465.2125,79.8
0,0,4,4,0,3,0,2,0,0,0,6,0,2,2090.4375,838.275,1252.1625,0
1,2,0,0,0,3,0,2,2,1,1,6,0,3,2646.675,1223.05,1423.625,0
0,1,3,2,1,4,1,2,2,3,1,7,0,2,2786.9125,1000.025,1786.8875,0
1,2,2,2,0,2,0,2,0,0,1,7,1,2,2422.675,1196.4,1226.275,0
3,3,2,2,1,3,0,1,1,2,2,8,0,2,2938.5375,1621.3375,1237.4,79.8
2,3,2,2,1,5,0,0,1,0,1,0,0,4,2174.5,1428.3375,746.1625,0
0,2,4,4,0,4,1,2,0,0,1,4,2,3,2067.0625,1057.1,1009.9625,0
1,1,3,4,2,3,0,2,1,2,0,5,1,4,1980.5125,1011.0625,923.85,45.6
2,1,2,2,0,2,2,0,0,7,1,0,2,1,1834.4375,856.2,978.2375,0
3,3,2,2,1,5,1,0,0,0,1,0,0,3,2567.775,1547.875,1019.9,0
2,2,3,2,1,0,6,0,2,0,1,0,2,2,1327.3875,666,661.3875,0
0,4,1,1,2,5,0,1,0,0,0,7,4,3,1606.425,760.2125,846.2125,0
5,0,2,2,0,3,1,1,2,4,1,4,0,2,2378.9875,1136.3,1242.6875,0
5,4,2,1,2,5,0,2,1,5,0,7,0,2,2767.9125,1151.3875,1283.725,332.8
3,2,1,1,0,3,0,2,0,1,1,4,1,2,2183.9,1244.1375,939.7625,0
1,1,2,2,0,3,1,2,1,0,0,5,0,2,1841.225,778.0625,1063.1625,0
1,1,2,1,1,2,2,2,0,0,0,2,0,2,2102.0875,1175.1375,926.95,0
2,1,3,0,0,4,2,2,0,0,0,5,0,3,2499.3375,1032.2875,1387.25,79.8
0,0,3,3,1,0,0,1,0,0,1,1,2,4,1161.825,337,824.825,0
2,2,2,3,1,4,1,2,1,0,0,7,1,2,2075.0375,1368.15,706.8875,0
1,1,2,2,1,2,1,2,2,4,2,4,1,2,3230.6375,1575.1625,1580.75,74.725
1,1,1,2,0,5,1,2,1,7,2,7,1,1,2580.48125,1190.23125,1390.25,0
2,2,2,1,0,2,0,2,1,7,2,7,0,2,2383.5125,1208.05,1155.0125,20.45
1,2,2,2,1,5,1,2,0,0,1,6,0,3,2591.3625,1469.4125,1121.95,0
1,1,1,3,0,5,0,2,1,7,3,6,1,1,2885.4875,1413.8375,1471.65,0
0,2,3,1,0,6,1,3,0,1,1,5,1,4,2096.2375,1184.3875,911.85,0
2,2,2,1,0,5,1,1,1,3,2,4,0,3,2195.0375,1296.25,898.7875,0
2,1,1,2,1,1,0,2,1,0,0,5,1,4,2040.4625,980.575,1059.8875,0
1,2,2,3,0,5,0,2,1,5,2,6,0,2,2432.775,1358.4125,1074.3625,0
0,2,3,1,1,5,3,0,0,0,2,1,1,3,1669.0625,968.7375,628.75,71.575
0,2,3,1,2,3,1,0,0,0,2,2,0,4,1838.2125,1141.125,697.0875,0
1,3,2,2,1,2,1,2,1,1,1,5,1,4,2455.5125,1288.575,1166.9375,0
2,0,3,1,1,4,0,2,0,0,0,1,0,1,2179.8625,1250.4,929.4625,0
2,2,3,2,0,4,0,1,1,1,1,3,3,2,1943.7875,890.85,1052.9375,0
3,2,3,2,2,3,0,0,1,1,1,0,0,2,3019.075,1332.05,1459.025,228
2,2,1,2,0,4,1,2,0,4,1,6,1,2,2955.7375,1409.45,1360.4375,185.85
0,0,4,4,0,3,1,1,0,0,1,2,2,2,1714.25,886.475,827.775,0
3,3,2,1,0,3,1,2,0,0,1,7,0,4,2234.575,1282.9125,951.6625,0
0,0,4,2,2,0,0,1,1,2,1,2,1,2,2218.175,645.3375,1345.4625,227.375
0,1,2,2,0,4,0,1,0,0,2,4,0,4,1610.6,687.275,923.325,0
2,2,2,1,1,3,1,2,0,0,3,7,2,2,2111.15,1188.8875,922.2625,0
0,0,1,1,0,3,1,2,1,0,0,4,3,2,1882.4875,1380.2,502.2875,0
0,1,4,3,3,0,0,2,0,0,1,6,1,2,1692.925,837.35,855.575,0
1,2,3,3,0,4,0,1,0,0,2,2,0,2,2296.575,1342.4375,954.1375,0
0,3,3,2,1,3,2,2,0,0,1,6,0,2,2347.9125,822.55,1525.3625,0
1,1,3,2,1,3,1,0,1,0,1,1,0,2,1262.225,701.025,516.85,44.35
1,1,3,3,0,3,1,1,0,0,1,3,0,2,2692.79375,1038.925,1653.86875,0
2,2,2,2,1,5,1,2,1,1,3,6,0,2,2279.825,1399.0875,880.7375,0
3,3,2,3,0,1,0,1,0,5,2,2,0,4,3618.7125,2640.2625,978.45,0
2,2,2,2,0,4,0,2,0,0,2,5,0,2,3110.625,1600.8125,1509.8125,0
2,2,3,0,1,3,0,2,1,3,1,5,0,4,1564.175,812.025,752.15,0
1,1,3,2,2,3,1,2,0,0,2,4,2,2,3487.5875,2636.5125,851.075,0
2,3,3,4,1,4,0,1,0,0,1,1,1,2,3886.175,2505.0625,1381.1125,0
1,2,2,1,0,5,0,2,0,0,0,2,0,2,3475.4375,1885.825,1589.6125,0
3,3,2,1,2,6,0,2,0,0,1,8,0,4,3075.375,2126.7875,948.5875,0
2,1,2,1,0,2,0,0,1,0,1,2,0,1,2348.2625,1594.3,686.7875,67.175
1,2,4,1,1,4,2,1,2,0,0,3,2,3,3002.7875,2069.4,933.3875,0
1,1,4,3,0,5,0,2,1,0,1,4,2,2,1495.6375,813.65,610.4125,71.575
1,2,2,2,0,5,1,1,0,7,1,1,0,2,1933.3,1126.25,807.05,0
3,3,4,2,1,4,1,0,2,0,1,1,0,2,1943.45,1086.3125,788.7375,68.4
2,3,3,2,0,3,0,2,0,0,2,4,0,1,2126.5625,1056.325,1003.7125,66.525
2,3,1,2,0,2,2,1,1,0,1,3,2,1,2761.4,1988.875,772.525,0
2,1,2,3,0,4,1,2,1,2,2,4,3,2,3076.4,1639.65,1436.75,0
0,2,3,2,0,4,0,1,0,0,0,3.5,0,3,1919.4125,1081.125,838.2875,0
1,1,2,1,1,4,0,3,1,5,2,10,3,2,3173.35,1414.65,1758.7,0
0,3,3,3,0,3,0,1,1,5,1,2,0,3,2693.925,1285.825,1408.1,0
2,3,1,2,0,3,0,2,2,0,1,2,0,2,2567.275,1229.3375,1337.9375,0
1,0,4,4,0,0,0,0,1,4,0,2,0,3,1886.9,1131.15,755.75,0
1,1,4,4,1,3,0,2,1,0,0,5,0,2,2490.2875,1553.275,937.0125,0
3,3,2,1,0,2,0,2,2,3,0,5,1,2,3288.1625,1812.6375,1475.525,0
0,3,1,1,0,3,2,1,0,0,1,0.5,0,0,1379.725,1150.325,229.4,0
4,5,3,2,0,4,1,2,1,0,1,3,1,2,3198.5875,2082.0625,1116.525,0
2,2,1,2,0,3,3,1,1,4,3,4,2,2,2499.725,1661.25,838.475,0
1,2,3,1,1,1,4,1,1,0,1,2,0,3,3352.0625,1993.3,1358.7625,0
3,3,1,1,0,6,0,1,0,0,1,3,1,2,2486.5375,1606.7875,879.75,0
1,2,1,1,1,4,0,1,1,3,1,3,0,2,3656.3375,1864.225,1150.75,641.3625
2,2,1,2,2,2,0,1,1,0,0,2,0,3,3726.7375,2909.425,631.7375,185.575
3,3,1,0,0,0,0,0,0,0,1,1,0,1,3368.25,1925.975,569.875,872.4
1,2,3,2,1,0,1,2,1,0,1,5,3,3,2278.625,979.1,1299.525,0
4,3,2,1,1,3,0,1,0,0,2,2,0,2,2526.4125,1080.275,1446.1375,0
0,0,3,0,0,3,0,0,1,0,0,0,0,4,2271,1334.6875,609.1125,327.2
3,3,2,4,1,1,0,1,1,7,2,3,1,3,4278.1625,2944.4,1333.7625,0
1,1,2,0,2,3,2,2,1,0,1,7,2,1,2827.425,1400.6375,1384.0875,42.7
1,1,2,4,1,5,0,0,0,0,0,0,0,2,1768.0625,1045.45,722.6125,0
1,1,2,2,0,5,1,1,1,0,0,3,1,1,2578.625,1565.8,1012.825,0
2,2,3,2,1,3,0,1,0,0,0,2,1,2,1690.875,886.875,717.5,86.5
3,3,3,3,0,3,0,4,1,7,2,10,0,2,3963.01875,1775,2188.01875,0
2,2,3,2,3,3,0,2,1,2,2,14,2,2,2828.4125,1216.0125,1612.4,0
1,1,3,3,0,5,0,1,1,0,1,2,1,2,2083.05,1306.1,776.95,0
0,1,4,4,1,2,0,1,2,0,1,3,1,2,2194.5125,1089.825,1104.6875,0
3,1,1,2,0,4,0,2,0,0,0,6,0,2,1700.6125,948.65,672.1625,79.8
3,4,1,1,0,0,1,1,2,3,1,2,1,2,2580.3,1522.025,1058.275,0
1,2,3,2,1,5,0,2,1,0,2,6,0,3,2835.41875,2136.00625,699.4125,0
2,0,3,3,1,3,0,2,0,0,1,7,3,3,2016.225,1043.025,898.475,74.725
2,4,1,1,0,7,1,3,0,0,2,15,1,2,3701.6,2107.975,1593.625,0
2,2,3,3,1,3,0,2,1,5,1,4,1,2,2285.1,1082.25,1202.85,0
4,5,3,4,1,5,1,2,1,0,1,5,0,3,3401.4875,1803.1125,1473.575,124.8
0,1,2,0,3,4,0,0,2,2,1,1,1,4,1679.25,535.95,1143.3,0
1,1,4,2,3,4,0,4,0,7,0,7,2,2,2526.5875,942,1584.5875,0
1,2,2,2,2,4,1,2,0,0,1,3,0,3,2113.3125,1175.0625,938.25,0
1,1,3,2,1,2,3,2,2,0,1,5,0,4,2214.95,1026.7125,1188.2375,0
0,1,2,1,1,2,0,1,0,7,2,4,0,2,2376.8,947.4375,1349.5625,79.8
3,5,0,0,1,7,0,2,2,0,0,10,0,1,4844.025,3346.9625,1497.0625,0
1,2,3,3,0,3,0,2,0,0,0,5,0,2,1950.025,990.725,959.3,0
1,1,0,0,0,6,1,2,0,0,0,7,0,1,3721.9875,1465.3625,1287.7,968.925
0,1,4,2,1,0,1,0,0,0,1,1,1,2,1765.3375,577.6,1187.7375,0
6,5,0,1,0,3,0,2,0,0,1,5,0,2,4043.7,2863.45,1180.25,0
2,3,1,1,0,3,0,1,0,0,1,5,0,1,2691.55,1355.675,755.6,580.275
3,2,2,2,1,3,0,0,1,0,1,1,1,2,3325.1125,2462.3875,862.725,0
2,2,1,1,1,5,0,1,0,0,1,2,1,4,2365.925,1197.0625,1062.3625,106.5
2,1,2,1,2,1,2,2,0,4,2,5,0,3,3523.3125,2175.6,1325.5375,22.175
1,1,2,3,1,3,0,1,0,0,1,3,0,0,2271.1375,1194.05,974.4875,102.6
2,2,1,2,1,5,1,2,1,7,2,5,0,2,4967.95625,3340.9125,1627.04375,0
1,1,3,2,3,4,0,2,1,0,0,5,1,4,2033.075,1130.2625,902.8125,0
1,1,3,3,0,4,1,1,1,4,2,3,1,2,3993.9,2352.1125,1473.2875,168.5
3,3,1,1,0,5,0,2,0,0,2,4,1,2,3640.575,2488.375,1152.2,0
2,3,2,2,1,4,0,2,1,5,1,5,1,2,3289.025,1809.85,1360.0125,119.1625
1,1,3,3,0,3,0,1,1,2,1,3,1,1,1360.025,665.1,694.925,0
2,3,0,0,2,2,1,0,0,0,1,0,0,2,2041.35,1151.275,890.075,0
2,4,2,2,0,4,0,2,1,5,2,7,1,2,2935.1875,1622.6,1312.5875,0
4,2,2,0,0,2,3,2,1,3,2,4,0,3,3431.875,1914.0625,1451.7875,66.025
1,2,2,3,2,2,0,2,0,0,2,5,3,3,1871.625,1376.2625,451.0125,44.35
1,1,2,2,0,3,0,0,0,0,0,0,1,2,2482.7875,1824.1875,658.6,0
2,3,2,2,0,2,1,1,0,0,2,1,0,2,2737.025,1423.15,1074.475,239.4
0,1,4,4,1,2,1,2,1,0,1,5,2,1,1453.525,665.25,788.275,0
0,2,2,3,0,1,2,0,0,0,1,1,3,1,1965.3375,1341,549.6125,74.725
3,4,2,1,0,5,2,2,1,2,1,5,0,0,2801.1625,1800,1001.1625,0
2,2,3,2,2,3,1,1,1,2,2,4,2,3,2891.2125,1414.6,1476.6125,0
0,0,2,2,1,3,0,1,0,0,0,3,1,2,1468.9125,687.425,720.1375,61.35
1,3,3,2,3,1,0,2,0,0,0,6,0,3,1494.5875,593.725,900.8625,0
0,1,3,3,0,3,0,2,0,0,1,3,2,2,1782.2,792.05,990.15,0
1,2,3,3,0,5,1,1,1,2,1,3,1,3,2361.85,1049.7375,1312.1125,0
3,0,1,1,1,4,0,2,2,0,1,7,1,2,3428.1375,2073.2375,1354.9,0
2,3,3,2,0,3,0,2,0,0,1,3,0,3,2003.1,1029.075,747.9,226.125
2,2,1,2,1,1,1,1,1,5,1,5,0,3,3034.3875,1507.1125,1527.275,0
0,1,3,3,0,5,0,1,0,0,1,3,2,3,1772.625,1019.7875,752.8375,0
1,3,1,1,0,5,0,2,1,0,1,5,0,2,1947.75,1141.225,806.525,0
2,2,1,2,0,5,1,1,2,1,2,2,0,2,2828.875,1784.825,972.475,71.575
1,1,3,1,1,2,0,2,0,0,1,3,1,2,2254.925,1265.15,989.775,0
2,2,2,2,1,5,0,2,0,0,2,3,0,2,3440.7375,2339.1625,1101.575,0
0,1,1,3,3,2,1,3,2,0,1,12,2,1,2181.2,1000.525,1180.675,0
2,2,3,2,2,2,0,1,0,0,0,1,1,3,1408.9625,958.25,450.7125,0
1,1,2,2,2,3,0,3,0,5,2,6,0,2,1961.325,704.275,1113.9,143.15
2,3,2,2,1,5,0,2,0,0,1,4,0,4,1886.6625,966.275,920.3875,0
1,2,2,2,1,5,1,2,0,0,1,7,1,2,1886.1,902.1625,983.9375,0
4,4,2,1,0,4,2,2,1,2,2,4,0,3,2426.2,1608.7625,817.4375,0
2,3,3,1,1,2,0,2,2,2,1,6,0,4,3280.0625,1770.9125,1509.15,0
1,1,4,4,0,4,2,1,0,0,1,2,1,3,1685.4625,921.875,763.5875,0
3,5,3,2,0,0,0,2,1,1,1,6,0,4,3437.875,2207.4375,1230.4375,0
1,3,3,2,1,3,1,1,0,0,0,3,3,4,2424.8,1043.325,1381.475,0
2,2,1,1,0,6,1,2,1,1,2,6,0,2,2414.2625,999.2625,1415,0
3,3,2,0,2,3,0,2,0,0,0,7,0,3,2078.3,1346.9375,731.3625,0
1,2,2,2,1,0,0,2,1,4,1,5,2,1,2027.9125,1228.6,799.3125,0
2,2,2,2,0,5,0,2,1,2,1,3,0,1,3582.1875,2473.25,1108.9375,0
2,3,3,1,2,1,0,2,0,0,0,7,2,2,2124.1875,1236.6625,672.8,214.725
1,2,1,2,1,1,0,3,0,0,2,0,1,4,3466.9625,2098.075,1368.8875,0
2,3,2,3,0,4,1,2,1,4,2,5,1,2,2933.375,1696.0875,1237.2875,0
1,1,3,3,1,5,0,2,2,1,0,5,1,2,1850.4125,1022.9125,827.5,0
2,2,0,0,0,5,3,1,2,4,2,2,0,2,3163.8,2490.6875,673.1125,0
2,2,2,0,0,3,0,2,1,2,2,3,0,2,3169.975,2051.4625,1118.5125,0
1,2,2,3,0,4,1,3,1,5,2,5,1,2,3142.325,1901.975,1240.35,0
4,4,2,2,0,1,1,2,2,7,2,7,3,2,4011.5125,2729.3625,1282.15,0
2,1,3,2,1,1,0,0,0,0,0,3,0,2,1949.425,732.7125,534.4125,682.3
1,3,3,1,2,0,3,2,0,0,1,7,0,2,3835.6375,2043.0125,1474.0875,318.5375
2,2,1,1,0,2,2,2,1,3,1,8,0,2,2964.525,1716.2125,1248.3125,0
0,1,4,4,1,2,2,2,1,5,1,3,1,3,1733.7375,695.975,1037.7625,0
2,1,3,4,0,5,1,2,0,0,2,3,0,4,2661.4375,1913.325,748.1125,0
3,2,1,1,0,3,0,2,0,0,1,4,0,2,2951.3875,1736.7625,1214.625,0
0,2,1,1,1,4,1,1,0,0,1,2,1,2,1456.6125,847.5125,609.1,0
2,2,0,0,0,5,0,2,2,1,2,5,0,2,3793.1625,1780.0375,1951.45,61.675
2,3,2,2,0,4,2,2,2,1,3,5,0,2,3108.65,1829.4125,1199.4375,79.8
2,3,2,3,1,5,1,2,1,1,1,5,0,2,2942.9,1521.725,1421.175,0
1,1,2,1,0,5,0,1,0,4,1,1,0,1,1968.1375,1090.9625,877.175,0
1,1,3,2,0,6,0,2,3,0,0,0,0,3,2370.375,1769.975,600.4,0
2,2,2,3,0,3,1,1,0,1,1,2,1,2,2183.3375,1160.725,1022.6125,0
3,2,1,2,1,4,0,1,2,0,1,1,2,4,3197.75,2021.625,1176.125,0
2,4,2,2,1,3,1,1,1,0,1,2,0,3,2262.6875,1428.4875,834.2,0
2,2,0,0,2,0,0,3,0,0,2,5,0,2,2554.2125,1463.9875,952.125,138.1
1,3,2,3,1,5,1,3,1,4,1,10,0,2,1996.7,822.9,1173.8,0
2,3,1,2,0,3,0,0,1,0,0,0,1,4,1954.8875,1325.675,629.2125,0
4,3,1,2,2,3,0,2,0,0,1,4,1,2,3686.35,2220.725,1047.625,418
0,1,3,1,0,3,0,3,1,5,2,5,2,2,1828.6125,854.1875,974.425,0
3,1,3,4,2,3,5,0,0,0,0,2,0,3,2770.275,1757.05,1013.225,0
4,3,1,1,2,1,1,1,1,2,1,5,1,2,2877.3625,1779.9375,1097.425,0
3,3,1,2,1,3,0,0,0,0,2,0,3,1,2400.3375,1773.85,626.4875,0
0,1,3,3,1,1,1,2,2,0,1,2,0,3,1959.3625,735.35,1224.0125,0
1,1,3,2,0,3,1,2,0,1,1,7,1,2,2644.65,1682.55,962.1,0
2,2,3,2,0,6,0,2,1,7,2,6,3,2,3031.15,1483.55,1395.2625,152.3375
0,0,3,1,1,2,0,1,1,0,0,1,1,4,1709.9125,548.5,1089.8375,71.575
2,3,1,0,0,4,0,0,1,2,1,3,1,2,3606.525,2262.7125,1321.0125,22.8
2,2,2,2,1,2,0,1,0,0,1,1,0,2,2339.9375,1532.5375,807.4,0
2,2,3,3,1,1,0,3,1,3,1,10,0,2,2434.55,1118.825,1235.925,79.8
2,2,1,1,0,4,0,2,2,0,0,5,0,3,2679.65,1567.8625,763,348.7875
2,3,2,0,0,3,0,2,1,0,2,7,0,3,2645.225,1501.5375,1000.5375,143.15
0,1,4,3,1,4,0,2,1,0,2,3,0,2,2717.65,1393.2625,1096.3875,228
3,3,1,2,1,7,0,2,0,0,1,6,1,4,2812.275,1853.25,959.025,0
1,1,2,1,1,3,0,2,1,1,1,3,0,3,2102.65,754.6875,1186.4375,161.525
2,4,0,0,1,6,0,1,0,1,2,4,0,3,3598.55,2617.3625,958.6875,22.5
2,3,3,2,1,5,0,3,0,0,1,6,0,4,2817.675,1202.8625,1614.8125,0
3,3,2,2,0,2,0,1,1,0,1,7,1,1,4036.8625,2906.2125,1016.65,114
4,3,2,0,2,2,2,0,2,3,2,0,1,2,3744.65,2390.725,1353.925,0
2,2,1,2,2,1,1,2,0,0,1,5,1,4,2913.75,1665.2125,999.2375,249.3
1,2,3,3,0,3,0,1,0,0,1,2,1,2,1844.475,967.125,734.2,143.15
2,2,3,3,1,2,0,1,0,0,2,2,0,2,2086.84375,1312.43125,774.4125,0
2,3,2,2,2,1,1,1,0,0,2,2,2,2,2441.5,1473.275,968.225,0
2,1,0,0,0,5,0,2,0,0,2,5,3,2,2379.4875,1140.975,1238.5125,0
0,1,4,3,1,3,1,2,1,0,1,5,0,3,2359.1125,1369.6875,989.425,0
2,3,1,2,0,4,0,2,1,1,1,5,1,4,3440.875,2125.1625,1315.7125,0
