X.73..朝.一回に食べる量を選んでください（淡色野菜・きのこ類）,X.54..1週間に.個（卵）,X.115..漬け物を一回に食べる量を選んでください,X.55..朝.一回に食べる量を選んでください（大豆・大豆製品）,X.30..食事は.１日何回食べますか.,X.71..あなたは.普段.毎日ごはんをどのくらい食べますか..1杯.茶碗1杯程度,X.118..食卓しょうゆ.ソース.1週間に.回,X.72..夕.1週間に.回（緑黄色野菜）,X.67..朝.一回に食べる量を選んでください（緑黄色野菜）,Label,　,　,　
0,2,1,0,2,2,5,4,0,982.9125,,,
2,6,1,2,2,2,3,7,2,1435.3625,,,
1,4,1,0,3,2,3,4,0,830.9375,,,
1,3,0,0,3,2,2,5,0,1027.81875,,,
1,2,1,1,3,2,1,2,1,1306.575,,,
0,1,1,0,3,3,4,2,0,858.525,,,
0,7,0,2,3,2,5,3,1,1702.625,,,
1,8,0,2,4,5,15,1,1,2731.0625,,,
1,10,1,1,3,3,7,7,1,1370.2125,,,
0,4,0,0,2,3,1,7,0,753.4625,,,
0,1,1,2,2,2,2,1,0,771.8375,,,
0,2,1,0,2,3,7,5,3,1070.325,,,
0,2,1,0,3,2,3,4,2,1230.7125,,,
1,3,1,1,3,3,8,3,1,1409.075,,,
1,4,1,1,3,7,7,3,1,2006.35,,,
1,7,1,2,3,4,2,7,1,1560.95,,,
0,0,0,1,3,1,3,6,0,926.125,,,
0,3,1,0,2,3,0,3,1,834.7,,,
0,10,0,0,3,3,7,4,0,996.9375,,,
1,3,1,0,3,1,10,3,2,956.7,,,
3,10,2,2,2,3,4,1,3,1408.375,,,
2,5,1,2,3,4,5,0,0,1688.6,,,
0,7,0,0,3,1,0,7,0,1329.1875,,,
2,10,2,2,3,2,5,2,2,739.25,,,
0,2,0,1,3,3,1,1,0,1200.6375,,,
0,7,1,2,3,2,7,7,1,1237.2875,,,
1,10,0,0,2,3,10,5,2,1078.6625,,,
0,4,1,0,3,2,7,7,1,784.2125,,,
0,7,0,2,3,4,0,0,2,1481.7125,,,
3,2,2,1,3,2,4,6,3,1564.3875,,,
0,7,0,1,3,2,2,0,0,802.23125,,,
1,8,0,1,3,0,4,7,1,1045.625,,,
1,5,0,1,3,2,2,5,1,1120.575,,,
0,5,2,0,3,3,2,3,0,1080.1125,,,
1,5,1,1,3,3,7,5,1,1586.425,,,
0,20,0,0,2,1,3,6,0,1566.9125,,,
0,1,0,0,3,3,7,6,0,1517.375,,,
1,3,2,2,3,3,4,3,1,1202.475,,,
2,5,1,0,3,1,6,7,2,1529.6125,,,
0,7,2,0,3,2,5,2,0,854.475,,,
0,5,2,1,3,3,1,6,0,1277.4375,,,
2,7,1,2,3,3,3,7,2,1010.3375,,,
2,2,1,2,3,2,4,7,2,1525.425,,,
0,0,1,0,3,5,0,1,0,1386.675,,,
2,5,2,2,3,2,4,5,2,1353.25,,,
2,7,0,2,3,2,0,7,2,1489.5375,,,
0,3,2,0,3,3,2,2,0,1387.625,,,
0,2,1,0,2,2,3,6,0,752.375,,,
0,5,1,0,2,2,6,7,0,1062.6625,,,
0,0,1,0,2,1,5,3,0,749.5375,,,
1,5,2,2,3,3,15,4,2,2042.2375,,,
0,7,2,0,3,2,0,5,0,1441.6875,,,
2,10,2,2,3,3,7,5,2,1274.225,,,
0,5,0,0,2,3,14,7,0,1367.3,,,
0,2,0,0,3,2,4,3,1,837.6125,,,
2,20,1,2,3,3,7,2,1,1080.075,,,
0,4,2,1,3,2,3,2,1,1116.9375,,,
1,5,2,2,2,3,5,7,2,1883.825,,,
1,3,1,2,2,3,5,5,1,1783.1875,,,
0,2,1,0,2,3,1,0,0,1101.3625,,,
2,5,0,2,2,3,0,3,1,1797.4,,,
1,3,1,0,2,3,2,6,1,963.0625,,,
0,5,0,2,2,2,5,4,3,3641.51875,,,
0,1,0,0,3,2,3,2,0,495.9375,,,
0,5,0,2,3,3,5,2,0,844.6125,,,
2,10,2,1,3,3,5,5,1,1643.775,,,
1,10,1,2,3,3,2,7,1,1739.3875,,,
0,7,1,0,3,4,10,7,0,1165.1875,,,
1,4,2,0,3,3,7,3,2,1608.8,,,
0,1,1,0,3,2,4,3,0,913.875,,,
0,4,0,0,2,4,5,4,1,800.7875,,,
0,5,2,0,3,2,3,6,0,916.975,,,
0,12,0,1,3,5,5,4,0,916.325,,,
2,2,1,2,4,3,3,4,1,2051.1625,,,
0,10,1,2,3,3,4,2,3,1006.18125,,,
0,2,1,0,2,4,1,3,0,1054.05,,,
0,3,1,0,2,2,3,3,0,733.275,,,
2,3,2,2,3,4,7,7,2,1746.6375,,,
1,7,1,1,3,2,7,5,1,1436.85,,,
0,7,0,1,3,2,2,3,0,1006.8625,,,
1,1,0,2,2,2,3,4,1,948.5875,,,
1,7,2,0,3,4,4,7,0,1414.5625,,,
2,5,1,0,3,2,3,7,2,889.5,,,
0,5,0,0,3,2,2,5,2,1357.3125,,,
0,5,0,0,2,2,6,7,0,442.7,,,
0,10,2,0,3,4,3,6,0,965.4625,,,
2,3,2,1,2,3,7,3,1,946.95,,,
0,7,1,2,3,3,5,2,2,1107.4875,,,
0,3,1,1,3,4,2,5,1,1078.15,,,
0,4,0,0,3,4,5,3,0,1324.3625,,,
0,3,0,0,3,2,3,5,0,1109.3,,,
1,3,1,2,3,4,5,3,1,1592.45,,,
1,7,1,1,3,4,6,3,1,904.9,,,
1,0,0,2,2,0,0,2,1,250.2625,,,
1,6,1,1,3,3,7,4,1,1466.6875,,,
0,1,0,0,3,2,0,7,0,881.0875,,,
2,5,0,0,4,1,7,7,0,629.025,,,
1,10,3,2,3,4,6,3,1,1521.8875,,,
0,12,0,1,3,2,0,5,2,1485.0125,,,
2,7,1,2,4,4,3,7,2,2192.3875,,,
0,5,1,0,3,4,4,5,0,1221.425,,,
0,1,0,0,3,2,0,7,0,545.7875,,,
2,6,0,1,3,5,10,5,2,1366.25,,,
2,2,1,2,3,3,7,3,2,1060.8375,,,
0,2,1,0,3,1,5,3,0,1018.65,,,
0,3,1,0,2,3,1,5,0,831.6875,,,
2,10,1,1,2,2,3,2,1,1187.3875,,,
2,7,0,1,4,3,5,7,2,1253.7125,,,
0,3,0,0,2,3,5,3,2,1069.4625,,,
1,2,0,1,2,3,4,2,1,1185.2,,,
2,4,1,0,2,4,7,7,2,861.85,,,
0,3,0,0,3,3,4,7,0,979.725,,,
0,1,0,0,2,3,1,3,0,751.175,,,
0,3,1,0,3,2,4,4,0,1458.5125,,,
0,2,0,2,3,2,0,7,0,866.8625,,,
0,0,0,0,3,0,1,1,0,517.175,,,
1,5,1,2,3,3,1,1,0,1207.7625,,,
0,3,1,0,2,4,7,5,0,995.0625,,,
2,3,0,0,3,2,3,3,0,824.35,,,
1,2,1,1,3,3,6,7,1,1175.3625,,,
0,2,1,0,2,2,2,2,0,900.2125,,,
2,3,2,2,3,2,4,7,2,1399,,,
0,5,2,0,2,3,4,2,0,1245.575,,,
2,5,2,0,3,2,4,3,2,829.9125,,,
0,21,2,1,3,4,4,7,0,1545.6125,,,
1,5,1,2,3,2,7,4,2,1033.9125,,,
0,10,0,2,3,2,0,5,0,661.425,,,
0,5,0,2,3,3,7,5,1,1699.525,,,
